suburb,postcode,local_density_score,neighbor_density_score,latitude,longitude
BORALMA,3682,87,62.21428571,-36.174271,146.428656
BORONIA,3155,147.5,85.69476744,-37.861799,145.284418
BOTANIC RIDGE,3977,147.5,96.03968254,-38.1466398,145.2695101
BOUNDARY BEND,3599,54,22.5,-34.729742,143.143231
BOX HILL NORTH,3129,68,84.20616114,-37.806965,145.125084
BRADFORD,3463,32.5,58.1,-36.957983,144.05651
BRADVALE,3361,249,418.3,-37.752643,143.373089
BRANDITT,3630,153,96.28947368,-36.380853,145.403176
BRANDON PARK,3150,23.5,80.53125,-37.914383,145.168834
BRANXHOLME,3302,252.5,280.7142857,-37.847981,141.706379
BRAVINGTON,3821,14,25.6,-38.08301804,145.9226127
BREAKAWAY CREEK,3303,148,185.625,-37.980868,141.789606
BREAMLEA,3227,98,88,-38.263052,144.40814
BRIGHTON EAST,3187,85,76.71315789,-37.925371,145.013593
BRIM,3391,11.5,21,-36.092132,142.446015
BRIMPAEN,3400,18,31.375,-36.725245,142.203729
BRUARONG,3749,2,27.3,-36.42031113,146.8638108
BRUMBY,3885,22,47.75,-37.01610136,148.0696953
BRUNSWICK,3056,15.5,86.64615385,-37.766292,144.960108
BRUNSWICK EAST,3057,25.5,84.32575758,-37.770012,144.97728
BRUNSWICK SOUTH,3055,23,86.37105263,-37.763584,144.942222
BUDGEE BUDGEE,3862,2,10.125,-37.55304411,147.130018
BUDGEREE EAST,3870,20,34.96428571,-38.437946,146.319351
BUFFALO CREEK,3958,4,38.8,-38.673841,145.987059
BULGANA,3377,16,118.2777778,-37.12975291,142.9948304
BULLA,3428,120.5,97.89256198,-37.591069,144.811494
BULLEEN SOUTH,3105,53,84.84047619,-37.772477,145.084806
BULLENGAROOK,3437,14,99.46428571,-37.501619,144.513018
BULLUMWAAL,3875,55.5,48,-37.826032,147.63201
BUNDARA,3898,100,95,-37.066169,147.464799
BUNINYONG,3357,911.5,324.8235294,-37.653945,143.883416
BUNYIP,3815,18,113.2380952,-38.01378,145.726311
BURAGWONDUC,3858,4,17.77777778,-37.49088696,146.7706256
BURNLEY NORTH,3121,12,81.92079208,-37.826869,145.007098
BURNSIDE HEIGHTS,3023,134.5,85.07089552,-37.73218752,144.755657
BURRAMBOOT,3559,42,35.3125,-36.53002718,144.8317218
BURRAMINE,3730,85.5,34.83333333,-36.00973295,145.882739
BURRAMINE SOUTH,3730,8,67.38888889,-36.07318482,145.856688
BURROWYE,3709,26.5,33.4,-36.035908,147.667373
BURWOOD,3125,12.5,84.13551402,-37.851305,145.101
BURWOOD HEIGHTS,3151,29,81.91943128,-37.85523,145.151119
BUXTON,3711,29,49.66666667,-37.41047,145.682161
BYLANDS,3762,87.5,66.71052632,-37.354143,144.936707
BYRNESIDE,3617,113.5,75.65789474,-36.423823,145.178369
CALLAWADDA,3381,4,5.8125,-36.988914,142.7154
CALLIGNEE SOUTH,3844,12,30.11538462,-38.38048482,146.6035417
CALROSSIE,3971,31,21,-38.631942,146.815723
CAMBARVILLE,3779,26,77,-37.539267,145.784751
CAMBERWELL WEST,3124,13.5,85.28271028,-37.840867,145.068191
CAMPASPE WEST,3564,99,28.85714286,-36.168997,144.728806
CAMPBELLFIELD,3061,181.5,82.37134503,-37.666265,144.956763
CAMPBELLS BRIDGE,3381,4,7.233333333,-36.988914,142.7154
CANADIAN,3350,113,229.8125,-37.571941,143.864505
CANN RIVER,3890,87,42,-37.566489,149.217216
CANNUM,3393,22,11.16666667,-36.257725,142.387341
CANTERBURY,3126,29.5,84.07819905,-37.827203,145.075748
